127.0.0.1 - - [03/Jul/2021:14:50:38 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/ HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/images/naver.PNG HTTP/1.1" 200 11055
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/images/google.PNG HTTP/1.1" 200 37036
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/images/youtube.PNG HTTP/1.1" 200 17084
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:50:39 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:58:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4110
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:58:46 +0900] "GET /BBS/view.jsp?bbsID=13 HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:59:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:59:29 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:59:29 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:14:59:29 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:03:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4191
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:03:26 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:03:26 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:03:27 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:21:55 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:40:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:40:08 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 500 3249
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:40:15 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 500 3249
0:0:0:0:0:0:0:1 - - [03/Jul/2021:15:40:43 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 500 3249
